,sweep,signal,spread,t_stat,p_value
0,window 0..+5,LM net tone (MD&A),0.009531456639054341,1.6079941360767112,0.10929215304102624
1,window 0..+5,YoY similarity (MD&A),-0.010020949363477145,-1.418516387752787,0.15785907926129944
2,window 0..+10,LM net tone (MD&A),0.015071902792611223,1.8750788346838898,0.06212553955105014
3,window 0..+10,YoY similarity (MD&A),-0.025158527313972803,-2.6571769715412086,0.008565085316442723
4,window 0..+30,LM net tone (MD&A),0.00836770212325419,0.69880334665736,0.48543008967470214
5,window 0..+30,YoY similarity (MD&A),-0.0318289508631725,-2.2217601230669946,0.02747238615908745
6,window 0..+60,LM net tone (MD&A),-0.01816249647619487,-1.1271769728905932,0.26091857804763136
7,window 0..+60,YoY similarity (MD&A),-0.04927224867569845,-2.6995530737659688,0.007559519868183095
8,3 buckets,LM net tone (MD&A),0.00836770212325419,0.69880334665736,0.48543008967470214
9,3 buckets,YoY similarity (MD&A),-0.0318289508631725,-2.2217601230669946,0.02747238615908745
10,5 buckets,LM net tone (MD&A),0.027702382382544768,1.7583275934774936,0.08100019038573257
11,5 buckets,YoY similarity (MD&A),-0.03307512513941323,-1.7802785841480218,0.0775899749154771
